Site,Location,Ashtray,Type,Direction,Easting,Northing
"Ferry Road","opposite number 747",Yes,Barnsley,EB,321755.43,675535.97
"Ferry Road","opposite number 516",Yes,Wybone,WB,323447.97,675818.78
"Ferry Road","Bus stop at 49",Yes,"Amb/Wybone S/L",WB,326411.07,676416.12
"Ferry Road","Outside number 143",Yes,"Derby Standard",WB,326103.46,676337
"Ferry Road","At bus stop outside Craighall Centre opposite 227",Yes,Wybone,EB,325608.49,676235.13
"Ferry Road","Outside number 241",Yes,Wybone,WB,325284.83,676141.14
"Ferry Road","Outside number 224",Yes,Wybone,EB,325294.09,676157.81
"Ferry Road","Opposite number 268",Yes,Wybone,WB,324950.63,676057.66
"Ferry Road","outside number 312",Yes,Wybone,EB,324772.82,676029.04
"Ferry Road","Opposite number 300",Yes,Wybone,WB,324804.22,676022.1
"Ferry Road","Outside number 392",Yes,Wybone,EB,324386.6,675994.14
"Ferry Road","outside number 22 Inverleith Gardens",Yes,Wybone,WB,324423.98,675983.01
"Ferry Road","Bus stop at end of Stewarts Melville",Yes,Wybone,WB,323683.85,675857.5
"Ferry Road","at Main St/ Silverknowes Rd East","Not Applicable","Not Applicable","Not Applicable",321224.77,675487.38
"Ferry Road","Ouside Library",Yes,"Derby Slimline",EB,326477.72,676451.19
"Pennywell Road","Outside ladbrokes bookmakers",Yes,Barnsley,NB,321927.62,676110.15
"Railpath - Lower Granton Road To Granton","On walkway",Yes,Barnsley,EB,324603.67,677058.75
"Railpath - Lower Granton Road To Granton","on walkway",Yes,"Derby Slimline",EB,324355.41,677082.33
"Wardie Steps","Top of wardie steps",Yes,Topsy,SB,324185.63,676889.92
"Ferry Road Drive","Grass area at shops",Yes,Barnsley,SB,322538.48,676020.73
"Granton Crescent","At 68",Yes,Barnsley,EB,323371.82,676871.92
"Granton Crescent","At bus stop",Yes,Barnsley,EB,323638.51,676911.28
"Granton Crescent","At south entrance to park",Yes,Barnsley,EB,323698.94,676909.38
"Granton Crescent","At entrance to play area",Yes,"Derby Standard Green",SB,323657.03,676980.66
"Granton Road","Outside 229",No,Amberol,EB,323885.41,677007.15
"Granton Road","Outside chip shop",Yes,Neopolitan,NB,324270.71,676213.24
"Granton Road","At shops at number 28",No,"Half Edinburgh",NB,324278.18,676157.71
"Granton Square","Outside edinburgh building",Yes,Neopolitan,SB,323726.05,677080.24
"Granton Square","Opposite ed building",Yes,"Derby Standard",EB,323668.89,677089.51
"Granton View","opposite 13 to 18",Yes,Barnsley,EB,323904.2,676965.92
"Lomond Road","At park entrance opposite 20",No,"Half Edinburgh",NB,324689.03,676694.63
"Lower Granton Road","Outside 148",Yes,Neopolitan,WB,323891.08,677053.35
"Lower Granton Road","Opposite 124",Yes,"Derby Standard",EB,324066.02,677004.44
"Lower Granton Road","Opposite 13",Yes,Topsy,EB,324766.15,676998.04
"Lower Granton Road","Outside 28 at bus stop",Yes,Neopolitan,WB,324646.66,677012.35
"Newhaven Road","Inside  small play area",Yes,"Derby Standard Green",NB,325768.95,676419.53
"Muirhouse Crescent","Rear of Shopping Centre",No,Barnsley,SB,321852.88,676093.19
"Muirhouse Drive",,Yes,Barnsley,WB,321245.38,676032.23
"Muirhouse Drive","Muirhouse drive within park",Yes,"Derby Standard Green","Not Applicable",321313.66,676080.51
"Muirhouse Gardens","In shopping precinct",Yes,Amberol,EB,321266.5,676170.44
"Muirhouse Park","Top of milennium park",Yes,"Derby Standard Green","Not Applicable",321315.97,675765.6
"Muirhouse Park","Milennium park leading to craigroyston grove",Yes,"Derby Standard Green","Not Applicable",321264.15,675875.83
"Muirhouse Park","At junction with craigroyston grove",Yes,"Derby Standard Green","Not Applicable",321300.19,675832.38
"Muirhouse Park","Topend of muirhouse park",Yes,"Derby Standard Green","Not Applicable",321278.39,675911.81
"Muirhouse Parkway","At 41 Salvesen Crescent",Yes,Wybone,EB,321528.18,676411.28
"Muirhouse Parkway","On footpath leading to High Rise flats",Yes,Barnsley,WB,321412.93,676352.16
"Muirhouse Parkway","at last bus stop",Yes,Wybone,EB,321755.27,676468.33
"Muirhouse View","Opposite Inchmickery Court",Yes,Barnsley,NB,321297.16,676255.55
"Pennywell Gardens","On corner of Pennywell Gardens",Yes,Barnsley,EB,321364.27,676210.71
"Pennywell Gardens","Within Play Area",No,Routemaster,WB,321385.57,676229.09
"Pennywell Road","Outside the Gunner",Yes,Barnsley,NB,321900.56,676178.33
"Pennywell Road","Outside Greggs",Yes,Barnsley,NB,321935.79,676082.23
"Pennywell Road","At bus stop opposite Gunner",Yes,Neopolitan,SB,321926.13,676175.04
"Pennywell Road","Last Bus stop before Ferry Road outside number 02",Yes,Neopolitan,SB,322144.16,675673.78
"Newhaven Road","South east exit",Yes,"Derby Standard Green",EB,325804.98,676409.39
"Newhaven Road","Opposite 184",No,Topsy,NB,325680.78,676612.82
"Newhaven Road","Nort east exit",Yes,"Derby Standard Green","Not Applicable",325719.41,676521.98
"Newhaven Road","By Notice board",Yes,"Derby Standard Green","Not Applicable",325778.25,676450.9
"West Granton Road","in park","Not Applicable","Not Applicable","Not Applicable",322016.19,676559.56
"West Granton Road","In park","Not Applicable","Not Applicable",EB,322005.13,676549.77
"West Granton Road","in park","Not Applicable","Not Applicable","Not Applicable",321991.94,676553.17
"West Granton Road","in Starbank park",Yes,"Derby Standard Green",WB,325157.33,676984.53
"West Granton Road","Opposite 63 east  trinity road",No,Topsy,EB,325114.3,676589.84
"West Granton Road","Outside Sandys store",Yes,Topsy,WB,322375.97,676638.25
"West Granton Road","At bus stop near Hermiston Village",Yes,"Derby Slimline",NB,317953.13,670320.84
"West Granton Road","At bus stop near Hermiston Village",Yes,"Derby Slimline",SB,317946.68,670337.44
"West Granton Road","At steps leading to Station",Yes,"Derby Standard",WB,318952.67,672230.85
"West Granton Road","In Station car park",No,"Not Applicable",NB,318870.72,672262.64
"Ferry Road Sr Nos 703 - 775","Opp 741 at bus stop",Yes,Wybone,EB,321865.7,675563.92
"Pennywell Gardens","At first bus stop",Yes,"Derby Standard",EB,321389.48,676196.28
"Pilton Crescent","Beside playpark",Yes,"Derby Standard Green",NB,323506.87,676336.22
"Pilton Crescent","In play area",Yes,"Derby Slimline",EB,323507.31,676345.02
"Pilton Drive","A recycling bins at Ainslie park",Yes,"Derbt Slimline",EB,323327.12,676131.95
"Pilton Drive North","outside  Community Centre",Yes,Wybone,SB,323310.13,676632.88
"Pilton Park","at entrance to park",Yes,"Derby Standard Green",EB,323429.28,676255.75
"Craighall Avenue","Outside School",Yes,"Half Edinburgh",EB,325498.39,676570.61
"Craighall Road","At newsagent",Yes,Topsy,NB,325375.87,676711.05
"Craighall Road","At junction with Craighall Avenue",Yes,"Half Edinburgh",SB,325427.31,676532.23
"Craighall Road","At bus Terminal",Yes,Neopolitan,NB,325336.01,676985.5
"Craighall Road",,Yes,"Derby Standard Green","Not Applicable",325466.72,676426.89
"Craighall Road",,Yes,"Derby Standard Green","Not Applicable",325443.19,676486.78
"Craighall Road",,Yes,"Derby Standard Green","Not Applicable",325487.16,676320.05
"Newhaven Road","At bus stop outside 144",Yes,Wybone,SB,325780.24,676480.22
"Newhaven Road","Outside number 198 corner store",Yes,"Derby Standard",WB,325903.9,676283.75
"Royston Mains Crescent","Grass area 42",No,"Derby Standard",EB,323023,676718.26
"Royston Mains Crescent","Grassed area at 36",No,"Derby Standard",EB,323003.78,676714.5
"Royston Mains Crescent","Opposite 50",Yes,Barnsley,WB,322861.67,676659.17
"Trinity Crescent","Opposite Old chain pier",Yes,Neopolitan,WB,324956.14,676973.93
"Trinity Crescent","At Old Chain pier",Yes,"Derby Standard",EB,324988.05,676992.3
"Wardie Road","At entrance to Cycle track",No,"Half Edinburgh",WB,324449.22,676173.44
"Wardieburn Drive","Outside 3",Yes,Barnsley,SB,323753.94,676589.43
"Wardieburn Drive","On corner with Wardieburn drive",Yes,Barnsley,SB,323728.83,676721.07
"Waterfront Avenue","At north bus stop",Yes,Wybone,EB,322633.39,676929.96
"Waterfront Avenue","At south bus stop",Yes,Wybone,WB,322625.75,676914.73
"Waterfront Avenue","Bus stop opposite british gas",Yes,"Derbt Slimline",WB,322628.01,676908.35
"Hawthornvale Path","At top of starbank park",Yes,"Derby Slimline Green","Not Applicable",325146.45,676812.59
"Crewe Road North","Next to arneil drive",Yes,"Wybone S/L",SB,322862.37,676035.89
"Crewe Road North","At bus stop outside 133",Yes,"Wybone S/L",NB,322814.78,676257.84
"Crewe Road North","Bus stop outside 254",Yes,"Wybone S/L",SB,322773.06,676653.92
"Muirhouse Parkway","At bus stop opposite Birnies court",Yes,Neopolitan,EB,321217.77,676324.44
"West Granton Road","At bus stop opp morrisons",Yes,"Derby Standard",WB,322521.12,676646.32
"West Granton Road","At bus stop opposite 37",Yes,Wybone,NB,323296.72,677004.24
"West Granton Road","At bus stop opposite 37",Yes,Wybone,NB,323296.72,677004.24
"West Granton Road","At bus stop nearbgranton mains av",Yes,"Derby Standard",WB,322290.08,676645.15
"West Granton Road","At bus stop outside 217",Yes,Neopolitan,SB,323160.54,676851.25
"West Granton Road","Bustop opposite granton mill cresent",Yes,Neopolitan,EB,322111.5,676646.05
"Ferry Road","Outside number 101",Yes,"Derby Standard",WB,326228.7,676368.23
"Ferry Road","Opp ferry road place",Yes,Wybone,EB,322332.19,675668.02
"Ferry Road","Outside 205",Yes,Wybone,"Not Applicable",325836.57,676276.21
"Ferry Road","Opposite No 268 at bus stop",Yes,"Wybone S/L",NB,324947.57,676058.82
"Ferry Road","Outside number 98.",Yes,"Derby Standard",EB,326226.6,676380.62
"Stanley Road","Opposite park road at bus stop",Yes,Topsy,NB,325458.78,676746.17
"Stanley Road","Bus stop opposite No 24",Yes,Topsy,SB,325427.09,676740.15
"Pennywell Cottages","O/s performance motors",Yes,Wybone,EB,321921.84,676542.06
"Pennywell Cottages","Opposite number 1 penneywell cottages",Yes,Neopolitan,WB,321920.79,676538.96
"Pennywell Cottages","Bustop at numberc1 pennywell cottages",Yes,"Derby Standard",EB,321922.04,676552.97
"Muirhouse Place West","At entrance to craigroyston primary",Yes,Barnsley,NB,321776.53,675841.86
