Site,Location,Ashtray,Type,Direction,Easting,Northing
"Moredunvale Road","Outside Royal Pub",No,Neopolitan,WB,328911.64,670112.23
"Moredunvale Road","Beside lamppost MMY07",Yes,Neopolitan,EB,328580.23,669792.42
"Moredunvale Road","Opposite lamppost MY 15",No,Barnsley,EB,328622.65,669846.77
"Moredunvale Road","Opposite Royal Pub",No,Neopolitan,EB,328902.69,670110.57
"Old Dalkeith Road","Bus stop opposite 536",Yes,Wybone,EB,329710.98,669532.16
"Old Dalkeith Road","At bus stop after Walter Scott Avenue",Yes,Wybone,WB,328188.33,670684.35
"Old Dalkeith Road","Bus stop opposite 39 Pentecox",Yes,Wybone,WB,329123.42,670069.48
"Old Dalkeith Road","395 Old Dalkeith Road Pentacox",Yes,Wybone,EB,329170.61,670054.34
"Old Dalkeith Road","Bus stop at 530",Yes,Wybone,WB,329687.17,669539.95
"Old Dalkeith Road","Outside 130 Aaron Lodge",Yes,Wybone,WB,328387.79,670445.79
"Old Dalkeith Road",,No,"Derby Round","Not Applicable",327681.19,670912.84
"Old Dalkeith Road","At gates of nursery","Not Applicable","Derby Round","Not Applicable",327807.89,670940.28
"Old Dalkeith Road","2nd lamp post from Dalkeith Road in Inch park","Not Applicable","Derby Round","Not Applicable",327901.72,670992.47
"Old Dalkeith Road","Inch Park","Not Applicable","Derby Round","Not Applicable",327825.28,670961.19
"Old Dalkeith Road","At bus stop opposte 21",Yes,Wybone,WB,327870.7,671065.63
"Old Dalkeith Road","At bus stop before North entrance to Hospital",Yes,Wybone,EB,328719.93,670331.51
"Old Dalkeith Road","Opposite Ferniside Park at  bus stop",Yes,Wybone,SB,329559.2,669687
"Old Dalkeith Road","Just before junction for Kingston Avenue at bus stop",Yes,Brunel,WB,328523.86,670382.3
"Old Dalkeith Road","At entrance to football grounds at Ferniehill","Not Applicable",Barnsley,"Not Applicable",329494.46,669723.23
"Old Dalkeith Road","First bus stop after Cameron Toll",Yes,Wybone,EB,327662.2,671192.39
"Gilmerton Road","At Craigend Park",Yes,Wybone,EB,328012.85,670004.7
"Gilmerton Road","At bus shelter after Robins Nest",Yes,Wybone,EB,328288.61,669673.69
"Gilmerton Road","At Gilmerton Road end",Yes,"Derby Round","Not Applicable",327400.43,670622.39
"Gilmerton Road","Opposite 207",Yes,Wybone,NB,327324.83,670619.65
"Gilmerton Road","Inch Park Surgery",Yes,Wybone,SB,327560.93,670397.4
"Gilmerton Road","Opposite 515",Yes,Neopolitan,NB,329030.93,668964.9
"Gilmerton Road","Opposite 397",Yes,Wybone,NB,328231.54,669709.9
"Gilmerton Road","Outside 451",Yes,Wybone,SB,328699.46,669310.67
"Gilmerton Road","At bus stop opposite 401",Yes,Wybone,WB,328389.69,669528.44
"Gilmerton Road","Outside church on corner of Mount Vernon Road",Yes,Wybone,WB,328039.78,669961.68
"Gilmerton Road","At lamppost GEN 01 just before liberton road",Yes,Wybone,WB,327209.75,670720.23
"Glenallan Drive","In play area",Yes,"Derby Standard Green",WB,327705.16,670763.2
"Sharpdale Loan","At first lay by heading West",Yes,"Derby Round","Not Applicable",327457,670836.84
"Sharpdale Loan","At Path leading to",Yes,"Derby Round","Not Applicable",327395.98,670789.19
"Sharpdale Loan","At Bus terminus on Roundabout",Yes,Wybone,WB,327511.25,671196.12
"Walter Scott Avenue","Outside number 88",No,"Half Edinburgh",EB,327987.69,670465.84
"Walter Scott Avenue","Outside bookmakers",Yes,"Derby Slimline",EB,328015.85,670499.97
"Braefoot Terrace","Opposite number 05 Braefoot Terrace",Yes,"Derby Slimline",NB,327121.08,670286.02
"Burnhead Path West","At South entrance",Yes,"Derby Round",EB,327483.17,668726.51
"Southhouse Square","In play area",No,"Half Edinburgh",SB,327925.1,667983.57
"Glenallan Drive","Lamppost IBA  18 at Community Centre",Yes,"Derby Double Slimline",WB,327646.33,670783.32
"Glenallan Drive","Lamppost IBA 15 2nd lay by",Yes,"Derby Round",EB,327582.81,670706.63
"Glenallan Drive","Pathway to School",Yes,"Derby Round",EB,327837.33,670676.5
"Glenallan Drive","On path at play area",Yes,"Derby Round",EB,327729.22,670788.53
"Glenallan Drive","In Play area",No,Routemaster,WB,327709.58,670738.05
"Ferniehill Drive","At bus stop Opposite number 15 Ferniehill Drive",Yes,Wybone,EB,329377.56,668789.71
"Glenvarloch Crescent","Outside number 55",No,Topsy,WB,327715.27,669986.3
"Glenvarloch Crescent","Outside number 33",No,Barnsley,EB,327780.88,670004.85
"Glenvarloch Crescent","Within play park",No,"Not Applicable",WB,327625.13,669963.09
"Craigend Park","Outside number 01",No,Barnsley,WB,328669.05,669889.86
"Alnwickhill Drive","At lamppost number ADN 01",Yes,Neopolitan,EB,327108,668810.42
"Burdiehouse Road","Outside number 05",Yes,"Derby Slimline",SB,327411.31,668028.03
"Burdiehouse Road","At entrance to walkway by bus stop",Yes,Barnsley,SB,327469.29,667323.48
"Craigour Avenue","Outside number 40",No,Neopolitan,WB,329057.79,669888.86
"Craigour Avenue","o/s no 10",No,Neopolitan,EB,329005.76,669598.22
"Drum Avenue",Walkway,Yes,"Wybone S/l",EB,329499.89,668748.16
"Drum Street","At bus stop Outside 33/34 Drum Cottages",Yes,Wybone,WB,329578.05,668472.03
"Drum Street","Opposite No. 3",Yes,Wybone,NB,329187.99,668742.74
"Drum Street","Outside 49",Yes,Wybone,SB,329321.61,668599.25
"Drum Street","Outside Iceland",Yes,Wybone,EB,329220.81,668721.91
"Drum Street","outside bingo hall",Yes,Brunel,WB,329247.04,668643.43
"Drum Street","Outside Bingo Hall",Yes,Brunel,SB,329263.98,668646.19
"East Farm Of Gilmerton","play area",Yes,"Derby Round",EB,329489.61,668734.58
"Ellen's Glen Road",,Yes,Neopolitan,"Not Applicable",327991,669012.63
"Ellen's Glen Road",,Yes,Barnsley,"Not Applicable",328297.14,669203.47
"Ferniehill Drive","At bus stop outside 31",Yes,Wybone,EB,329476.02,668909.76
"Ferniehill Drive","At bus stop outside 48",Yes,Wybone,WB,329512.12,668917.4
"Ferniehill Drive","At bus stop outside Iceland",Yes,Wybone,EB,329299.26,668746.06
"Ferniehill Drive","Bus stop at number 31",Yes,Wybone,NB,329561.86,668992.1
"Ferniehill Road","play area",Yes,"Derby Round",SB,329392.84,669155.13
"Ferniehill Road","Opposite number 37",Yes,"Derby Round",SB,329289.44,669076.92
"Ferniehill Road","Bus stop opposite number 123",Yes,Wybone,SB,329693.13,669401.1
"Ferniehill Road","play area",Yes,"Derby Round",SB,329396.82,669141.54
