Site,Location,Ashtray,Type,Direction,Easting,Northing
"Cycle Track - Balerno To Slateford - Eas","Car park area on River walkway beneath bridge",Yes,"Derby Double Green",SB,321336.02,669030.5
"Cycle Track - Balerno To Slateford - Eas","At West entrance to River Walkway",Yes,"Derby Double Green",EB,321232.66,668876.33
"Cycle Track - Balerno To Slateford - Eas","Against wall at North end of Park",Yes,"Derby Standard Green",SB,321272.49,668938.7
"Cycle Track - Balerno To Slateford - Eas","Campbell pk playarea",Yes,"Half Edinburgh",EB,320453.51,668725.98
"Redhall Bank Road","Outside number 12",Yes,"Derby Slimline",EB,321589.03,670264.29
"Redhall View","at Colinton delll path",Yes,Wybone,WB,321815.79,670441.72
"Clovenstone Road","Lp Iac 78",Yes,"Derby Standard",WB,320267.7,669519.29
"Clovenstone Road","At Bus stop before opening of W Hailes Park",Yes,"Derby Auto Slimline",NB,320294.24,669749.22
"Clovenstone Road","At bus stop before Union Canal",Yes,"Derby Auto Slimline",NB,320173.03,670005.75
"Clovenstone Road","At bus stop opposite W Hailes Park",Yes,"Derby Auto Slimline",SB,320309.81,669748.05
"Clovenstone Road","At bus stop after Union Canal",Yes,"Derby Auto Slimline",SB,320183.69,670003.06
"Bridge Road","Outside High School",Yes,Neopolitan,"Not Applicable",316315.8,666757.48
"Baberton Avenue","At lamppost BQM4 leading to School",Yes,"Half Edinburgh",NB,319647.03,668783.16
"Baberton Mains Avenue","At side of number 37",No,"Half Edinburgh",NB,319741.78,669231.25
"Baberton Mains Hill","At the bus stop near number 23",Yes,Wybone,NB,319382.69,669388.68
"Baberton Mains Wynd","Outside number 18 on footpath",Yes,"Derby Slimline",NB,319708.09,668951.45
"Bavelaw Road","At lamppost LP06KR",Yes,"Half Edinburgh",EB,316355.26,666642.05
"Bavelaw Road","Opposite number 12",Yes,"Half Edinburgh",SB,316415.44,666603.58
"Bavelaw Road","Opposite 10",No,"Half Edinburgh",SB,316436.42,666492.45
"Bavelaw Road","Outside 55",No,"Derby Slimline",SB,316343.33,666307.39
"Bavelaw Road","At Bus Shelter opposite 41",Yes,Wybone,NB,316359.61,666380.59
"Belmont Road","Within Broomiehall Park",Yes,"Derby Standard Green",WB,319375.03,668687.92
"Belmont Road","Within Kids play area",No,"Derby Standard Green",EB,319373.42,668710.47
"Belmont Road","Within play area",No,"Half Edinburgh",EB,319370.01,668740.55
"Belmont Road","At Juniper Park Road entrance",Yes,"Derby Standard Green",WB,319499.22,668729.16
"Blinkbonny Road","at entrance",Yes,"Derby Slimline Green",WB,319110.59,667983.37
"Blinkbonny Road","at seating in park",Yes,"Derby Slimline Green",WB,319076.75,667907.42
"Bridge Road","At bus stop on bridge over river",Yes,"Derby Auto Slimline",NB,316277.86,666684.86
"Bridge Road","On Bridge over Water of Leith",Yes,"Half Edinburgh",SB,316289.16,666684.47
"Bridge Road","Near traffic lights at bus stop",No,"Derby Slimline",NB,316376.87,666939.15
"Bridge Road","Opposit South entrance to School",Yes,"Half Edinburgh",NB,316289.6,666727.87
"Clovenstone Park","In playpark",Yes,"Derby Standard Green",EB,320601.32,669475.29
"Wester Hailes Park","In play area",No,Barnsley,EB,320140.79,669670.81
"Morvenside Play Area",,"Not Applicable",Brunel,EB,319520.87,670029.92
"Bryce Road","aT LAMPPOST BCB 26 Victoria Wine",Yes,"Derby Standard",SB,318554.25,667912.53
"Bryce Road","Near weavers pub",Yes,"Wybone S/l",SB,318338.32,668197.66
"Clovenstone Drive","Outside number 26 At Bus Shelter at bus terminus",Yes,"Wybone S/L",EB,320269.97,669297.98
"Dovecot Park","at end",Yes,"Derby Slimline",WB,321505.39,669925.2
"Cockburn Crescent","At bus terminus first shelter",No,"Half Edinburgh",WB,316448.08,665630.04
"Cockburn Crescent","At Bus Shelter outside number 56",Yes,"Derby Auto Slimline",EB,316158.51,665495.08
"Cockburn Crescent","At Bus Shelter outside 74",Yes,"Derby Auto Slimline",EB,316045.32,665421.47
"Cockburn Crescent","At Bus Shelter outside 148",Yes,"Derby Auto Slimline",SB,315825.38,665548.74
"Cockburn Crescent","At bus stop outside number 194",Yes,"Derby Auto Slimline",SB,315680.65,665895.31
"Cockburn Crescent","At bus terminus",Yes,"Half Edinburgh",WB,316420.38,665632.77
"Deanpark Avenue","Outside Bank opposte Scotmid",No,"Half Edinburgh",EB,316282.21,666490.07
"Deanpark Place","In kids are within Park",Yes,"Derby Standard",WB,315980.14,665965.96
"Dolphin Avenue","Near to phone box",Yes,"Derby Auto Slimline",NB,317662.39,667596.56
"Dolphin Avenue","At School entance",Yes,Neopolitan,NB,317614.05,667787.86
"Dolphin Avenue","Outside Shops",Yes,"Derby Slimline",NB,317650.87,667661.71
"Dolphin Gardens East","Opposite number 6",No,Neopolitan,EB,317682.23,667738.17
"Dolphin Gardens West","On grass area",No,"Half Edinburgh",EB,317547.86,667630.41
"Dolphin Road","At path leading to Dolphin Gardens East",No,"Derby Standard Green",EB,317755.67,667648.33
"Harlaw Road","Outside Harlaw House",No,"Derby Slimline",SB,318099.7,665241.12
"Juniper Park Road","By football pitch",Yes,"Derby Standard Green",EB,319527.59,668820.1
"Muir Wood Road","In Park",No,Barnsley,WB,318707.87,668428.35
"Muir Wood Road","In Park",No,Barnsley,WB,318569.8,668337.22
"Muir Wood Road","In Park",Yes,"Derby Standard Green",WB,318632.76,668353.24
"Muir Wood Road","In Park",No,Barnsley,WB,318685.23,668381.96
"Pentland Place","George iv park at entrance to park",Yes,"Derby Standard Green",SB,317816.69,667647.44
"Waulkmill Loan","at rear of no 66",Yes,Wybone,EB,317377.22,667645.51
"Waulkmill Loan",,No,Neopolitan,NB,317675.62,667813.65
"Baird Road","At bus stop by bridge inn",Yes,Wybone,EB,313955.21,670861.47
"Craigpark Avenue","On grass area",Yes,Wybone,SB,313437.24,670675.49
"Dalmahoy Road","At bus stop outside 5",Yes,"Derby Auto Slimline",WB,313884.09,670642.48
"Main Street","Outside 60",Yes,Wybone,SB,313847.97,670722.92
"Main Street","Opposite 129",Yes,Wybone,SB,313557.27,670611.38
"Main Street","At bus stop outside 77 next to the shop",Yes,"Wybone S/L",EB,313801.93,670692.19
"Main Street","at bus stop  202365  Oppisite numbers 83 85",Yes,"Derby Slimline",SB,313752.98,670681.37
"North Street","Outside village shop north Street up steps",Yes,"Derby Auto Slimline",EB,313735.84,670710.91
"Woodhall Millbrae","At entrance to Park",Yes,"Derby Slimline",SB,320282.93,668841.15
"Ratho Park Road","by play equipment",Yes,"Derby Standard Green",WB,314083.63,670736.97
"Ratho Park Road","at junction with BAird road",Yes,Wybone,SB,313994.81,670769.74
"Wilkieston Road","At bus stop outside 18 next to the walkway",Yes,Wybone,WB,313290.78,670601.84
Hermiston,"Within Play area beside the benches",No,"Half Edinburgh",WB,317783.5,670215.33
"Calder Park Play Area","Bin next to rear of Dunsyre flats",Yes,"Brox S/L",WB,319111.16,670292.85
"Calder Park Play Area","Opposite post office",No,"Brox S/L",EB,319151.07,670367.25
"Calder Park Play Area","Bin in playpark",No,"Brox S/L",SB,319137.26,670294.81
"Calder Park Play Area","Next to Dunsyre flats rear",No,"Brox S/L",EB,319109.27,670339.09
"Clovenstone Park","Outside best one shop",Yes,"Derby Standard",NB,320301.23,669508.2
"Cherry Tree Park","Footpath leading to currievale drive",Yes,Wybone,EB,317016.95,667567.89
"Newmills Road","On grass area at side of number 1 cherry tree park",Yes,Wybone,NB,316713.34,667274.7
"Dolphin Gardens East","On corner of dolphin avenue and gardens east",Yes,"Derby Double Slimline",WB,317644.38,667737.78
