dz_label,overall_rank,income_deprivation_rank,employment_deprivation_rank,health_deprivation_rank,education_deprivation_rank,access_deprivation_rank,housing_deprivation_rank,crime_deprivation_rank
Data Zone S01000094,5400,5496,5802,5419,3366,6255,1656,1106
Data Zone S01000095,6413,5806,6281,6117,5968,6304,2102,3699
Data Zone S01000096,1793,2227,1309,1305,3341,1958,2471,2585
Data Zone S01000097,6428,6440,6489,5754,6073,3920,5397,3361
Data Zone S01000098,1703,3245,2207,425,2376,5639,584,19
Data Zone S01000099,6341,6400,6411,5956,5966,2333,6444,5032
Data Zone S01000100,2693,3672,3678,892,4029,5937,2110,23
Data Zone S01000101,5991,6381,6387,5627,6209,5787,3560,253
Data Zone S01000102,1760,2461,1822,1038,2204,6350,1129,113
Data Zone S01000103,6201,6335,6466,6217,5439,6431,828,1044
Data Zone S01000104,6302,6487,6484,5283,6450,2102,6315,5061
Data Zone S01000105,5784,6377,5875,5137,5678,1408,5760,4165
Data Zone S01000106,6439,6419,6482,5967,6500,2914,5750,4752
Data Zone S01000107,3020,3998,3806,2789,2526,6057,546,5
Data Zone S01000108,2112,2672,3020,1287,2088,3437,753,235
Data Zone S01000109,3183,4602,4055,1771,3824,6079,393,2
Data Zone S01000110,4189,4037,4941,2440,3371,2950,4308,4055
Data Zone S01000111,6241,6142,5988,4547,6167,5194,4644,2921
Data Zone S01000112,2947,3423,3143,2326,2168,6109,882,754
Data Zone S01000113,6490,6158,6363,6263,6495,5022,5693,4716
Data Zone S01000114,2113,2421,2239,2464,1593,2320,2102,1279
Data Zone S01000115,2434,2396,2225,2050,2627,4339,1601,2673
Data Zone S01000116,6142,6027,6171,6285,4433,6176,521,3205
Data Zone S01000117,5618,5019,6315,2352,6472,4249,5629,5135
Data Zone S01000118,3216,3768,3273,1762,3060,5346,2142,1207
Data Zone S01000119,2176,2563,2242,1342,2341,6333,479,787
Data Zone S01000120,5764,4837,5886,5338,6238,5055,1480,2245
Data Zone S01000121,3799,4021,2712,2482,4886,3592,4333,4990
Data Zone S01000122,1824,2667,1899,1086,1829,2109,2447,1248
Data Zone S01000123,5693,6185,5754,5288,5591,1268,5381,5002
Data Zone S01000124,4827,5112,5194,3749,3675,6221,278,1507
Data Zone S01000125,2496,2744,3537,1718,1661,5819,881,504
Data Zone S01000126,1550,1813,2170,521,2245,5519,577,300
Data Zone S01000127,6489,6426,6386,6088,6346,4520,6321,4628
Data Zone S01000128,4921,5291,5153,4581,4299,6149,286,666
Data Zone S01000129,5660,6436,6424,6231,2809,6078,390,1329
Data Zone S01000130,3260,4467,3532,1876,2317,5479,631,1072
Data Zone S01000131,6130,6063,6152,5132,5757,4334,2013,2919
Data Zone S01000132,5229,4949,4825,4249,5304,5548,1225,2463
Data Zone S01000133,2068,1940,2171,1760,2609,3209,1928,1361
Data Zone S01000134,1223,1291,1460,806,990,4816,1476,1089
Data Zone S01000135,1086,1135,839,1282,1133,6353,726,804
Data Zone S01000136,1343,2151,2235,341,686,6398,1724,355
Data Zone S01000137,3791,3571,4103,2665,3555,6134,1280,1130
Data Zone S01000138,4547,5313,4947,2637,4547,5593,562,743
Data Zone S01000139,2645,2789,2469,1861,2699,4386,1265,2636
Data Zone S01000140,2546,3476,3430,1299,1883,1587,2283,2451
Data Zone S01000141,5576,5819,6054,4234,5996,4071,4106,685
Data Zone S01000142,883,1008,1044,449,655,5494,870,1865
Data Zone S01000143,6422,6307,6459,6188,6307,2594,6433,5407
Data Zone S01000144,4900,5455,5118,4519,3548,5640,176,1320
Data Zone S01000145,1146,1446,1411,412,1362,2330,3301,1276
Data Zone S01000146,1838,3100,2206,348,1948,6302,240,1243
Data Zone S01000147,3187,4300,3545,1878,2132,6051,347,1096
Data Zone S01000148,888,1582,514,338,2000,5979,931,507
Data Zone S01000149,3335,3663,4163,2130,2287,6257,453,1217
Data Zone S01000150,2710,2756,2745,2087,1991,6317,1839,1790
Data Zone S01000151,1633,1685,1979,701,1906,3607,1970,2117
Data Zone S01000152,4195,4585,3314,3258,4933,5095,3609,1158
Data Zone S01000153,2913,3979,3288,1642,1548,4365,694,2718
Data Zone S01000154,2711,3150,2382,3648,1435,4087,1551,2310
Data Zone S01000155,1897,2567,1897,1590,862,6251,1444,1330
Data Zone S01000156,2240,2388,3309,1627,1222,5522,439,1012
Data Zone S01000157,762,1086,1001,104,1589,3576,2788,402
Data Zone S01000158,2209,2746,2689,512,2793,3879,2480,2514
Data Zone S01000159,6193,6135,6099,5110,5914,2927,6274,4506
Data Zone S01000160,3077,3607,2954,1920,2143,5218,1548,3061
Data Zone S01000161,6388,5975,6362,6327,5055,6230,1942,3820
Data Zone S01000162,3061,3351,2773,2724,2430,3519,2918,2554
Data Zone S01000163,1560,2276,1931,700,820,4950,1009,1501
Data Zone S01000164,3645,3734,4610,2425,2628,3364,992,2592
Data Zone S01000165,1114,1605,967,657,1177,3468,1436,1118
Data Zone S01000166,5709,5950,6174,5164,3480,5774,660,2700
Data Zone S01000167,2642,2359,3086,1962,1859,4489,2962,3106
Data Zone S01000168,1403,2024,2423,517,443,4913,1175,1531
Data Zone S01000169,3374,4229,2739,2768,2863,3298,4812,2275
Data Zone S01000170,5820,5812,6020,4311,4876,5429,981,3167
Data Zone S01000171,5684,6343,6200,6173,4982,890,6366,4245
