dz_label,overall_rank,income_deprivation_rank,employment_deprivation_rank,health_deprivation_rank,education_deprivation_rank,access_deprivation_rank,housing_deprivation_rank,crime_deprivation_rank
Data Zone S01000948,3602,4707,3861,5054,3825,168,2936,5933
Data Zone S01000949,5338,4767,5942,4792,5132,1450,5739,6413
Data Zone S01000950,3758,3696,3857,3616,5110,660,4184,5672
Data Zone S01000951,2948,2598,2917,3606,2137,6030,2691,1114
Data Zone S01000952,3832,2996,2692,3770,5471,4150,5314,5083
Data Zone S01000953,5912,5868,5789,5410,5843,1882,5956,5374
Data Zone S01000954,2867,2462,3036,4293,2698,978,4223,4987
Data Zone S01000955,4597,4541,5064,6043,3393,846,5690,4925
Data Zone S01000956,1954,1887,2116,1719,1259,3818,3564,3282
Data Zone S01000957,3467,3711,4040,5169,4339,238,1575,5502
Data Zone S01000958,1919,2159,1833,3535,1878,839,4280,1520
Data Zone S01000959,4576,4655,4442,5637,3672,1171,5775,4769
Data Zone S01000960,3137,2418,2185,4165,4238,4221,3796,3835
Data Zone S01000961,4511,4031,3674,3625,4438,5608,5635,3109
Data Zone S01000962,2637,3048,2445,2828,2298,6393,4708,170
Data Zone S01000963,1785,1421,1622,6378,434,5567,4675,2867
Data Zone S01000964,4649,5066,5059,5165,5433,327,5115,6244
Data Zone S01000965,692,895,799,2248,35,4131,3585,1113
Data Zone S01000966,2306,2726,2098,1335,1799,4335,4484,4505
Data Zone S01000967,1758,2036,1536,2449,819,5075,4293,1562
Data Zone S01000968,3786,4311,3956,3878,5662,305,2474,5866
Data Zone S01000969,2184,1938,1823,2377,2348,5889,3971,1337
Data Zone S01000970,2321,2078,2053,6459,974,6450,4138,772
Data Zone S01000971,1505,914,1673,2194,2188,2681,4182,1681
Data Zone S01000972,6126,5970,5518,6493,3777,5648,5991,3930
Data Zone S01000973,3327,2870,3394,3818,2106,4124,4937,3025
Data Zone S01000974,5174,5550,4204,4105,4616,2996,6087,5937
Data Zone S01000975,4508,5466,5476,4827,5564,133,5161,5879
Data Zone S01000976,3531,3455,4333,5336,3124,371,4065,5954
Data Zone S01000977,4588,4100,4168,6420,3113,3371,4563,2658
Data Zone S01000978,2799,3512,2732,3742,2836,576,2423,3419
Data Zone S01000979,3307,3538,4527,3796,3684,311,2835,3585
Data Zone S01000980,2457,3309,2776,3773,2451,250,3261,2806
Data Zone S01000981,4848,5476,5292,6490,4567,536,5534,2689
Data Zone S01000982,4363,5101,5162,4303,4366,402,5717,4178
Data Zone S01000983,2610,2587,4137,4756,2611,75,2274,5484
Data Zone S01000984,3450,3022,3594,5113,4610,531,4561,5109
Data Zone S01000985,2103,1776,3007,3163,1016,1785,2641,3037
Data Zone S01000986,2934,2692,3475,6178,1807,763,2658,4402
Data Zone S01000987,4090,4512,4981,4655,3945,343,2783,6325
Data Zone S01000988,4435,5332,4962,4920,5402,188,4924,6248
Data Zone S01000989,4498,5093,4976,4815,4229,488,5175,5259
Data Zone S01000990,2925,3678,2986,2353,3872,823,1852,3063
Data Zone S01000991,4234,5035,4622,4835,3870,400,3285,6487
Data Zone S01000992,3543,4046,3666,2753,3263,1361,3908,4520
Data Zone S01000993,4109,4321,4268,3861,4990,658,5692,5101
Data Zone S01000994,2863,2361,2657,3057,3289,2498,3519,4053
Data Zone S01000995,6203,5881,5773,5758,5898,2874,5703,6215
Data Zone S01000996,4137,3808,3757,2444,5266,4973,5000,2172
Data Zone S01000997,5594,5450,5421,4552,5644,1927,6019,6487
Data Zone S01000998,2048,1666,2154,1456,3089,3478,1855,2767
Data Zone S01000999,5797,6047,5635,3850,5101,4559,4350,3143
Data Zone S01001000,3118,3642,2768,2773,3249,3193,2061,1313
Data Zone S01001001,3333,3850,4276,4317,4582,83,3854,5758
Data Zone S01001002,5028,4447,4236,4226,4317,5363,3679,5390
Data Zone S01001003,5078,5494,4880,4422,5264,1087,5785,6367
Data Zone S01001004,6178,5974,5505,4199,6391,4146,6126,6442
Data Zone S01001005,5691,4844,4985,4754,6058,4106,5518,5887
Data Zone S01001006,6405,5944,5747,6003,5756,5116,5367,5991
Data Zone S01001007,1843,1768,2088,1036,2039,4252,2156,2065
Data Zone S01001008,3809,3221,2908,3081,4517,5372,3565,4407
Data Zone S01001009,4495,4313,4318,4176,4647,1978,3528,3645
Data Zone S01001010,1727,1457,1655,808,3145,6107,3234,2092
Data Zone S01001011,3549,3368,5583,6348,4089,55,1991,6049
Data Zone S01001012,5547,5461,5335,3108,5030,4288,5680,5876
Data Zone S01001013,4188,3229,3193,4651,5326,5948,4347,2084
Data Zone S01001014,529,551,419,590,1636,6467,895,6
Data Zone S01001015,2178,1852,1802,1613,3468,5312,2862,2371
Data Zone S01001016,2370,2850,2362,3226,2440,567,3178,4308
Data Zone S01001017,1657,1308,1827,1484,2294,3555,2272,1425
Data Zone S01001018,2483,2435,1926,2185,3245,5302,2800,1771
Data Zone S01001019,395,280,487,281,928,5347,893,599
Data Zone S01001020,2124,1078,2344,2269,3507,5684,2509,2422
Data Zone S01001021,3383,3163,2842,2685,4372,4297,4729,2094
Data Zone S01001022,1989,2659,1580,1400,4708,5158,3127,18
Data Zone S01001023,3776,4119,4492,5142,4642,235,3121,3714
Data Zone S01001024,3504,3268,4588,3002,3565,1081,3845,3366
Data Zone S01001025,4722,4327,5049,3304,5422,1846,4867,4280
Data Zone S01001026,3735,4078,3655,4752,4045,548,4800,4596
Data Zone S01001027,4034,4550,3596,3244,3775,3027,5576,1723
Data Zone S01001028,1764,1343,1738,2133,2102,3582,2786,2137
Data Zone S01001029,474,497,598,386,651,2032,1781,1319
Data Zone S01001030,5464,5501,5036,6054,5923,1410,6388,4082
Data Zone S01001031,2120,2454,2191,1904,1972,1733,2521,2600
Data Zone S01001032,636,695,630,967,314,3985,1322,1306
Data Zone S01001033,580,531,1148,251,370,3113,1478,2118
Data Zone S01001034,101,123,84,492,105,3348,1401,411
Data Zone S01001035,1289,1645,1386,1783,648,1534,1064,3002
Data Zone S01001036,1685,1574,1700,2226,1315,3608,1812,1583
Data Zone S01001037,680,711,643,455,1155,4473,1533,820
Data Zone S01001038,5403,5787,5656,4599,5478,1125,5875,5089
Data Zone S01001039,3653,4134,4198,5175,5531,102,4492,4519
Data Zone S01001040,3630,3667,4560,4154,3666,412,3139,5830
Data Zone S01001041,5031,6059,5394,5441,5622,570,5975,2328
Data Zone S01001042,5343,5366,6039,4598,5173,993,5794,6457
Data Zone S01001043,5022,5692,4651,5284,3354,1944,3936,5070
Data Zone S01001044,3835,3412,3688,5130,4906,800,3303,5331
Data Zone S01001045,5071,5203,5195,5413,3291,1746,4288,6171
Data Zone S01001046,3772,3907,3892,2296,4133,2125,3569,3947
Data Zone S01001047,4966,4765,4080,4787,4792,2512,5734,6036
Data Zone S01001048,5304,5590,5791,4450,4686,1165,5959,6063
Data Zone S01001049,2250,2271,2729,1903,1471,2674,3308,3113
Data Zone S01001050,4360,4310,4018,6499,4894,584,4020,6296
Data Zone S01001051,1966,1620,2611,2075,1630,1645,3868,3444
Data Zone S01001052,1997,2368,2089,2385,1509,1220,2386,3186
Data Zone S01001053,3926,4054,3652,4335,4325,1301,3995,2934
Data Zone S01001054,2740,3050,2516,3996,2963,832,3637,3024
Data Zone S01001055,3368,2881,3425,3049,3285,5829,5009,980
Data Zone S01001056,3244,2089,3232,3571,3496,5660,3037,3166
Data Zone S01001057,4106,4533,4878,3636,4100,519,4149,6157
Data Zone S01001058,3554,3173,3303,2952,3759,6240,3256,1300
Data Zone S01001059,2222,1857,2429,2333,1986,2986,4736,2573
Data Zone S01001060,3195,3019,3235,3949,2075,2099,4119,5093
Data Zone S01001061,4514,3124,4578,6408,3677,2578,4657,5654
Data Zone S01001062,4215,5049,5069,4730,5231,163,2695,6074
Data Zone S01001063,4253,3918,4914,5834,3867,607,5501,5080
Data Zone S01001064,4872,3798,2982,6415,5473,6479,4877,4834
Data Zone S01001065,5158,3538,4209,6462,5474,6148,2818,4493
Data Zone S01001066,3704,4014,4144,4294,5149,203,4782,6356
Data Zone S01001067,3364,4261,4081,5049,4413,46,3666,5646
Data Zone S01001068,2967,3256,3500,5083,4919,44,3458,5351
Data Zone S01001069,3572,4041,3646,4698,4743,355,4346,3517
Data Zone S01001070,3784,4061,4145,3985,4577,487,4990,3912
Data Zone S01001071,3874,4724,4855,5598,4050,79,3730,6181
Data Zone S01001072,3019,3153,3830,4386,3056,366,1696,3851
Data Zone S01001073,3548,3997,3282,3962,5350,617,3883,3177
Data Zone S01001074,4616,4910,4608,6500,5592,308,5037,6055
Data Zone S01001075,4000,3347,3147,3481,4223,5824,2973,4222
Data Zone S01001076,3670,3828,3153,5236,5530,425,4268,5838
Data Zone S01001077,4009,2927,3188,3802,5977,4420,4277,3598
Data Zone S01001078,2935,3009,3711,3901,3116,344,3754,4072
Data Zone S01001079,4328,4409,4574,6159,5671,446,2968,3149
Data Zone S01001080,4337,4154,4555,4931,3722,1257,5347,4062
Data Zone S01001081,2468,2529,2811,5356,3863,67,3129,5832
Data Zone S01001082,4457,3953,3780,3626,5380,4364,4040,2481
Data Zone S01001083,2538,2117,2306,3293,2333,3271,4262,3074
Data Zone S01001084,3904,4016,4065,3941,5273,587,5512,3895
Data Zone S01001085,2864,2466,2203,3157,2516,5434,3919,4107
Data Zone S01001086,857,545,1236,1898,757,2481,2769,511
Data Zone S01001087,1145,1140,872,2863,876,1732,3001,2064
Data Zone S01001088,930,799,816,1749,1711,1002,3175,1553
Data Zone S01001089,2760,2933,2588,3710,4138,513,3838,3795
Data Zone S01001090,6031,5166,5493,6109,5581,5939,1380,4181
Data Zone S01001091,5429,4361,5236,4659,5730,6265,610,4168
Data Zone S01001092,4988,4494,4410,5510,4314,6434,236,3244
Data Zone S01001093,4168,3357,3433,5118,3751,6329,476,4408
Data Zone S01001094,5864,5513,5969,5382,5586,2550,5184,3770
Data Zone S01001095,5354,5593,6296,5912,2571,6389,165,1939
Data Zone S01001096,4240,3660,3930,3553,4711,6495,386,2472
Data Zone S01001097,5590,4760,4828,4102,5983,5405,4542,5287
Data Zone S01001098,6455,6239,6418,5886,6039,3764,5283,5836
Data Zone S01001099,2713,2660,2810,2265,3227,6341,56,1166
Data Zone S01001100,2830,2288,2822,1921,3266,5952,701,4131
Data Zone S01001101,3158,4209,4022,3232,2763,5680,100,14
Data Zone S01001102,3810,4193,3653,4146,2783,6084,274,950
Data Zone S01001103,5919,6319,6128,4888,6246,1650,1604,6093
Data Zone S01001104,2038,1721,2071,3024,1424,6067,124,2676
Data Zone S01001105,6249,6388,5919,5496,6123,2611,6254,4690
Data Zone S01001106,5455,5660,5731,4198,5009,2312,6194,3123
Data Zone S01001107,2453,2290,2308,1979,2696,5296,1024,2591
Data Zone S01001108,2405,2599,2948,2027,1865,6248,277,698
Data Zone S01001109,2225,2234,2008,2478,2306,4765,219,1999
Data Zone S01001110,1557,1581,1412,2341,1101,4974,171,1916
Data Zone S01001111,1375,1564,1271,1450,1077,4543,164,2417
Data Zone S01001112,3265,2711,3005,2673,4730,5935,1227,1555
Data Zone S01001113,1694,1597,2280,2170,1656,6219,290,64
Data Zone S01001114,338,429,150,528,1069,5554,474,440
Data Zone S01001115,2179,2130,1435,4133,2097,3327,677,4633
Data Zone S01001116,1882,1153,2105,1938,2190,4366,1309,5060
Data Zone S01001117,902,1245,655,841,915,6418,411,824
Data Zone S01001118,3249,3655,2292,2748,3665,4897,2720,2419
Data Zone S01001119,2632,1697,2931,2058,4014,6191,891,2111
Data Zone S01001120,4102,3657,3374,3187,4897,4398,3047,3967
Data Zone S01001121,974,890,787,2013,1001,5700,228,680
Data Zone S01001122,2105,1451,2608,1522,2795,5789,597,2113
Data Zone S01001123,3713,3417,3287,2993,4887,3293,3933,2184
Data Zone S01001124,2818,2308,1956,2523,4276,4681,4420,4762
Data Zone S01001125,2506,2677,2537,2751,1226,5073,1304,3014
Data Zone S01001126,5772,5785,4850,4344,5638,3805,5105,6027
Data Zone S01001127,3344,2822,3012,3496,2956,5857,2293,2562
Data Zone S01001128,6016,6149,5677,5572,5669,1932,5844,6487
Data Zone S01001129,954,1295,444,1352,1392,3708,1573,1658
Data Zone S01001130,2442,2261,2084,2424,2637,4659,773,3985
Data Zone S01001131,1393,1472,965,1633,1399,5801,814,2431
Data Zone S01001132,3348,2483,2549,3764,5018,5443,1552,3293
Data Zone S01001133,3066,2794,2598,2752,3100,5205,1289,3507
Data Zone S01001134,6363,5253,6029,5514,6197,6117,4884,5326
Data Zone S01001135,662,590,549,751,1273,5872,1134,333
Data Zone S01001136,910,769,902,1192,1086,6481,205,654
Data Zone S01001137,998,748,1098,905,1569,6416,374,866
Data Zone S01001138,1265,1467,1584,647,2134,6478,248,81
Data Zone S01001139,1874,1678,1599,920,3913,4008,1797,4258
Data Zone S01001140,1026,841,518,1118,2979,5425,890,3128
Data Zone S01001141,2102,2149,2388,3427,688,6269,435,1734
Data Zone S01001142,5902,5206,4918,4406,6171,5568,5603,5712
Data Zone S01001143,5167,5161,4189,4727,5680,2317,6172,5252
Data Zone S01001144,1153,1101,949,1840,1267,2792,1427,1261
Data Zone S01001145,2302,1859,1855,2334,3228,3597,3738,4649
Data Zone S01001146,5608,5869,5008,4355,5742,3713,5448,2416
Data Zone S01001147,1609,1729,1436,3121,1137,6503,33,642
Data Zone S01001148,5939,5169,5038,5596,5935,4444,5943,4876
Data Zone S01001149,2403,2581,1898,1661,3152,5995,649,2798
Data Zone S01001150,312,273,125,906,1565,4940,810,251
Data Zone S01001151,86,70,32,378,410,6327,999,278
Data Zone S01001152,1234,1067,1074,1099,1121,6234,1344,3717
Data Zone S01001153,3468,2930,2821,4465,3689,4375,3515,2101
Data Zone S01001154,6399,6015,5882,5829,6141,4253,6213,5598
Data Zone S01001155,6110,4995,5934,4505,6338,5120,6200,5253
Data Zone S01001156,1111,1099,878,1602,1534,6505,167,377
Data Zone S01001157,5940,5666,5235,4882,5655,3723,6352,5290
Data Zone S01001158,3096,2038,2593,3283,3755,6045,2177,5360
Data Zone S01001159,4729,3940,3823,3593,6259,3409,5626,5905
Data Zone S01001160,1702,951,2080,1053,3013,4492,2096,4966
Data Zone S01001161,3038,2884,2619,2804,3804,3528,3264,1828
Data Zone S01001162,4795,4329,4336,4930,5414,4169,5862,910
Data Zone S01001163,844,650,792,1461,913,6408,413,903
Data Zone S01001164,1035,1362,407,1387,2338,5331,1139,847
Data Zone S01001165,860,1060,566,1020,1433,6066,551,340
Data Zone S01001166,835,720,1112,2362,147,6445,635,1227
Data Zone S01001167,5241,4891,5256,4223,5831,1988,6116,4433
Data Zone S01001168,1965,1983,1661,3028,2368,6497,258,341
Data Zone S01001169,141,135,103,306,517,5225,544,298
Data Zone S01001170,342,253,342,469,937,4860,38,906
Data Zone S01001171,2605,2519,2615,2959,2290,5779,1740,591
Data Zone S01001172,502,751,183,1052,1264,6167,415,147
Data Zone S01001173,780,602,786,1133,1067,3728,216,1680
Data Zone S01001174,558,900,459,863,464,5972,181,90
Data Zone S01001175,211,196,243,551,411,3566,202,528
Data Zone S01001176,2327,2637,2134,3103,1888,4316,2729,552
Data Zone S01001177,846,630,762,868,1449,5465,1066,1470
Data Zone S01001178,1729,1132,1573,1575,2690,5790,3043,3343
Data Zone S01001179,5756,5767,5013,5495,6015,2249,6304,4941
Data Zone S01001180,1078,1269,1113,1339,458,6188,323,1160
Data Zone S01001181,5222,5255,4530,3960,5885,2324,5696,5752
Data Zone S01001182,1373,1170,1058,1808,2146,5204,678,1206
Data Zone S01001183,448,660,266,371,602,5981,1038,1370
Data Zone S01001184,4101,3639,3589,4256,4595,6403,4212,639
Data Zone S01001185,6012,5193,5303,5787,6211,3292,6277,6390
Data Zone S01001186,4865,5168,4385,3696,4651,2778,5575,3124
Data Zone S01001187,690,909,571,722,748,3055,208,2086
Data Zone S01001188,526,449,248,1017,1489,5757,417,1161
Data Zone S01001189,1663,1735,1025,1291,3717,2853,3175,3654
Data Zone S01001190,5800,6250,4899,4926,5859,2202,6448,6188
Data Zone S01001191,884,829,865,1131,801,6058,540,756
Data Zone S01001192,179,230,86,276,604,4953,774,1107
Data Zone S01001193,4868,4925,4012,3450,5201,5518,4676,1876
Data Zone S01001194,5581,5157,5095,5560,6198,1770,6038,6147
Data Zone S01001195,2183,2458,2090,1069,2547,4871,1155,2761
Data Zone S01001196,779,600,475,1378,1349,5449,669,2331
Data Zone S01001197,1184,1406,1207,1049,921,2907,270,3195
Data Zone S01001198,832,770,805,1105,925,3648,232,2096
Data Zone S01001199,532,436,408,1847,524,3341,84,2021
Data Zone S01001200,93,84,89,128,510,5127,730,192
Data Zone S01001201,473,644,148,1961,457,3835,769,2509
Data Zone S01001202,631,581,672,805,931,2358,543,792
Data Zone S01001203,320,185,273,741,886,6038,312,583
Data Zone S01001204,5463,5831,4655,5106,5929,1541,6261,6341
Data Zone S01001205,4615,4779,3426,3568,4396,5572,2872,3650
Data Zone S01001206,1569,1526,1080,1473,2644,4644,826,2557
Data Zone S01001207,852,795,929,1487,466,3243,961,2022
Data Zone S01001208,213,169,363,716,77,4866,1091,757
Data Zone S01001209,4725,4519,4407,5297,2838,5047,4154,2080
Data Zone S01001210,365,276,561,567,270,3072,473,1742
Data Zone S01001211,4415,4222,3616,2682,4594,5146,4017,5236
Data Zone S01001212,205,103,121,2064,479,5041,198,651
Data Zone S01001213,131,224,218,159,104,4649,191,181
Data Zone S01001214,1821,1871,1352,2036,1924,3004,1679,5422
Data Zone S01001215,4668,4339,3840,5006,4867,3614,4470,2079
Data Zone S01001216,1059,1086,866,1381,932,5375,152,2091
Data Zone S01001217,245,227,394,313,261,4923,643,414
Data Zone S01001218,5763,5570,5629,5484,6175,1454,6281,6453
Data Zone S01001219,5024,4845,5451,3202,5670,1563,5890,5996
Data Zone S01001220,1022,614,1084,1974,1242,4572,162,1875
Data Zone S01001221,4756,4448,5047,5080,4701,1427,2817,3634
Data Zone S01001222,947,1045,1099,411,1297,5917,672,635
Data Zone S01001223,4046,4480,3562,3977,3287,2129,3734,3845
Data Zone S01001224,147,301,227,266,43,4095,82,422
Data Zone S01001225,5322,5321,4765,4437,4994,3106,5567,3982
Data Zone S01001226,159,52,181,912,623,3688,816,186
Data Zone S01001227,3477,4386,3383,3459,3076,1953,4961,1005
Data Zone S01001228,3918,3620,3554,2698,3539,5306,3885,3372
Data Zone S01001229,4958,5279,3600,3785,5151,5754,3282,2922
Data Zone S01001230,133,238,101,344,79,5837,1069,348
Data Zone S01001231,1125,1573,1174,1292,751,1854,81,2151
Data Zone S01001232,5509,5923,5826,3757,5894,1266,6241,6194
Data Zone S01001233,353,202,618,648,243,4231,437,1580
Data Zone S01001234,1677,1786,1516,2045,1046,4979,507,3006
Data Zone S01001235,871,1075,1089,1155,225,4096,979,1547
Data Zone S01001236,475,382,650,645,311,5334,265,1843
Data Zone S01001237,3891,4307,2999,3858,3622,4868,2570,1422
Data Zone S01001238,563,554,471,1122,723,3696,648,468
Data Zone S01001239,210,116,203,1605,417,4725,1214,61
Data Zone S01001240,1603,1508,1572,1537,1312,5105,305,3750
Data Zone S01001241,1737,2011,2106,1894,900,4873,734,834
Data Zone S01001242,3849,4548,3526,3156,2319,3177,3421,4090
Data Zone S01001243,536,248,626,608,1393,4715,611,1478
Data Zone S01001244,1763,1629,1839,1780,1555,3442,2102,2436
Data Zone S01001245,112,32,321,468,67,3210,854,478
Data Zone S01001246,1617,1626,1532,1009,2169,4952,2196,1285
Data Zone S01001247,1766,2668,1552,1240,1234,5611,367,1636
Data Zone S01001248,4467,4670,3914,4418,3905,1653,4511,6360
Data Zone S01001249,1168,1274,1020,1614,765,3964,916,2046
Data Zone S01001250,1445,1819,1366,1251,1072,3423,517,2747
Data Zone S01001251,572,341,645,1870,719,2856,671,470
Data Zone S01001252,1543,959,1880,3018,1245,3128,596,2894
Data Zone S01001253,54,30,124,197,98,2843,1208,548
Data Zone S01001254,894,709,1270,1626,392,3780,194,2001
Data Zone S01001255,416,448,665,283,336,2435,1465,1384
Data Zone S01001256,1070,1298,999,2030,516,2886,192,1957
Data Zone S01001257,472,381,1023,607,117,3249,1719,1581
Data Zone S01001258,738,665,835,794,620,2819,3170,2161
Data Zone S01001259,3803,4088,3038,4536,3194,3848,1063,2316
Data Zone S01001260,219,105,454,680,168,2740,1163,1517
Data Zone S01001261,299,288,319,937,290,2387,189,1523
Data Zone S01001262,4594,4171,4598,2650,4510,3438,5250,5492
Data Zone S01001263,2696,2938,2433,2683,2910,3590,362,2056
Data Zone S01001264,3882,5189,4403,2441,3771,878,5162,2784
Data Zone S01001265,5745,6129,5954,5733,3754,1897,5258,6127
Data Zone S01001266,4241,4968,3258,4012,2463,4449,2455,5556
Data Zone S01001267,1577,1641,1373,2167,1441,2548,680,2986
Data Zone S01001268,4343,4195,4763,3540,3142,2585,4071,3880
Data Zone S01001269,2393,3816,2767,2079,2560,256,4553,3342
Data Zone S01001270,157,251,302,83,134,2337,2357,881
Data Zone S01001271,80,111,129,118,63,4412,1993,994
Data Zone S01001272,2016,2321,2157,673,1932,6318,3680,2469
Data Zone S01001273,1042,1391,1000,295,1019,6041,4108,2120
Data Zone S01001274,601,619,860,214,829,1362,3313,3574
Data Zone S01001275,978,1312,812,709,1057,1787,4471,3183
Data Zone S01001276,3267,4161,3469,3570,3616,411,3704,3936
Data Zone S01001277,890,1374,1063,30,1466,3758,4849,3524
Data Zone S01001278,2885,3252,2964,3363,2975,589,3142,5443
Data Zone S01001279,306,294,306,735,320,2636,2564,934
Data Zone S01001280,1466,1545,1110,1216,1781,4573,2313,2496
Data Zone S01001281,950,1022,838,325,1524,5042,2777,3004
Data Zone S01001282,2680,2993,2415,1722,2726,3103,3966,3608
Data Zone S01001283,2414,2215,2313,2897,2407,2392,3681,2941
Data Zone S01001284,2322,2908,2232,1070,2792,2143,2999,5375
Data Zone S01001285,1540,2021,1400,1707,2427,390,3500,3337
Data Zone S01001286,2228,2606,2446,2419,1463,1132,3561,4984
Data Zone S01001287,803,728,1234,677,549,2009,2055,3029
Data Zone S01001288,1500,1853,1868,758,1128,2631,3173,2398
Data Zone S01001289,1809,2041,1648,1204,2396,2954,3289,1932
Data Zone S01001290,1988,2523,1987,1425,1767,1264,3544,5865
Data Zone S01001291,1890,1906,2293,2069,1325,1360,1865,4982
Data Zone S01001292,892,840,637,1535,907,2657,2159,3405
Data Zone S01001293,1996,2735,1704,866,2264,3334,3417,3265
Data Zone S01001294,1242,1316,891,1844,1643,2850,2813,920
Data Zone S01001295,1648,1779,1274,1372,1607,5846,2764,2098
Data Zone S01001296,960,1221,1258,513,498,4777,2508,1122
Data Zone S01001297,1951,2610,1519,1618,2740,2911,3703,688
Data Zone S01001298,1251,1952,745,533,3353,5792,2907,247
Data Zone S01001299,1538,1661,1305,1080,1800,4558,2671,1800
Data Zone S01001300,3230,4151,3355,3320,3906,494,4441,2793
Data Zone S01001301,1057,1123,1208,1085,875,2164,2185,1341
Data Zone S01001302,5362,4622,5088,3660,5810,3480,6022,6223
Data Zone S01001303,5020,5103,4928,4285,3973,2225,5646,5118
Data Zone S01001304,4716,5706,5714,4416,5148,374,5432,3009
Data Zone S01001305,2439,2901,1992,1747,3265,2430,2980,3288
Data Zone S01001306,977,1273,723,1027,1260,1585,2529,2439
Data Zone S01001307,2198,2847,2393,1117,1610,3707,4286,1946
Data Zone S01001308,656,887,559,609,859,1453,1823,1600
Data Zone S01001309,388,480,396,349,492,4151,2242,329
Data Zone S01001310,613,609,629,564,1002,2703,2012,481
Data Zone S01001311,2149,2655,1883,2286,1779,1719,2915,3891
Data Zone S01001312,271,530,186,376,324,2489,4063,587
Data Zone S01001313,1599,2272,1310,809,2424,2148,2899,2169
Data Zone S01001314,4433,3896,3549,3797,3891,5321,5328,4932
Data Zone S01001315,5248,4954,4910,3135,4541,5318,5335,5269
Data Zone S01001316,494,820,472,1095,192,729,2442,3111
Data Zone S01001317,2880,2695,2663,2182,2579,5597,2250,3040
Data Zone S01001318,3569,2791,3079,3309,4562,5666,3723,1971
Data Zone S01001319,1732,1986,1378,2625,1373,3168,4466,1280
Data Zone S01001320,1090,1428,795,852,1228,3346,2129,1689
Data Zone S01001321,3954,3630,5416,4253,5310,356,4057,3298
Data Zone S01001322,3097,4063,3333,3313,3085,415,3789,3922
Data Zone S01001323,1275,693,1740,2610,1689,994,3046,2672
Data Zone S01001324,28,7,83,244,9,1472,1817,497
Data Zone S01001325,377,159,882,816,326,1600,1874,1328
Data Zone S01001326,2004,2067,2502,2336,1583,988,1806,4086
Data Zone S01001327,729,589,1218,1084,447,1636,2271,1298
Data Zone S01001328,576,641,764,924,247,1597,3147,1628
Data Zone S01001329,989,924,1186,782,999,1924,3411,2810
Data Zone S01001330,5624,6139,5733,5763,4803,1070,5765,6271
Data Zone S01001331,1741,1549,1996,1789,2423,1397,1691,2714
Data Zone S01001332,1936,1530,2536,2404,1805,1692,1869,2685
Data Zone S01001333,672,923,488,731,658,2124,2220,2648
Data Zone S01001334,1645,1671,1989,2746,797,1304,1867,4201
Data Zone S01001335,1006,1055,992,992,1073,2302,2072,2034
Data Zone S01001336,2071,2291,2018,1806,1765,2237,1452,4885
Data Zone S01001337,5336,4871,4257,4441,4903,5380,6134,4878
Data Zone S01001338,557,471,582,494,746,3600,2644,1514
Data Zone S01001339,3622,3288,3315,3133,2501,5896,4721,3453
Data Zone S01001340,1400,1238,1399,1917,1036,2523,1814,4444
Data Zone S01001341,1208,898,1220,1407,1157,3717,2774,3161
Data Zone S01001342,1983,1909,2048,1306,1738,4730,3410,2844
Data Zone S01001343,2181,2293,2592,1449,1089,5583,3104,2856
Data Zone S01001344,4425,3640,4358,3637,3190,4440,5285,6086
Data Zone S01001345,945,669,798,779,1824,6383,3514,1338
Data Zone S01001346,5197,5781,4395,4625,4495,2391,5460,4722
Data Zone S01001347,5566,6094,5794,4982,4310,1411,5714,6349
Data Zone S01001348,1046,926,1422,793,1866,3148,1914,171
Data Zone S01001349,3757,4953,5713,3880,2778,382,4075,1268
Data Zone S01001350,376,317,369,550,570,2504,3563,1414
Data Zone S01001351,4870,3996,4592,5698,4253,4373,1934,2688
Data Zone S01001352,3797,3157,3415,3978,3427,4192,3727,3090
Data Zone S01001353,5783,6100,5949,5316,5950,1483,6346,3479
Data Zone S01001354,1240,2191,1183,499,2362,2128,2161,211
Data Zone S01001355,3142,3322,2678,2855,3451,2928,3375,2224
Data Zone S01001356,6023,5695,5833,5929,5527,2789,6104,4043
Data Zone S01001357,1122,827,994,757,2295,5531,3135,1301
Data Zone S01001358,2096,2230,1820,2237,1915,1985,3851,4424
Data Zone S01001359,5743,5089,5795,3499,5798,5414,5905,3469
Data Zone S01001360,2362,2113,2357,2044,2360,3508,2454,4047
Data Zone S01001361,4284,4411,4033,3029,2848,4874,5051,3637
Data Zone S01001362,5192,4753,5142,4830,4196,2534,5808,5433
Data Zone S01001363,1654,1420,1401,1166,3278,5817,1664,1223
Data Zone S01001364,1509,1741,1489,739,2986,2065,2255,1651
Data Zone S01001365,1650,1924,1423,2477,1503,1184,2858,3051
Data Zone S01001366,6006,5348,6093,4613,5472,3890,6307,4893
Data Zone S01001367,4225,3342,3923,3629,4332,3988,4818,4410
Data Zone S01001368,4158,5032,5285,4733,4195,261,4920,3099
Data Zone S01001369,2046,2366,1763,2451,2790,976,2887,3007
Data Zone S01001370,3022,3504,3396,1012,5280,5491,5876,245
Data Zone S01001371,1820,1740,2133,683,3515,6179,2354,499
Data Zone S01001372,4771,5639,4575,3855,4154,1163,4187,6436
Data Zone S01001373,1762,2247,2281,1022,2305,524,4370,3674
Data Zone S01001374,5804,5704,4977,5794,5062,3335,5932,4547
Data Zone S01001375,4751,4992,4741,4583,4082,1189,6123,5300
